Player,Age,Team,Season,Minutes,PSxG +/- per 90,Crosses Stopped % per 90,Def Actions Outside Penalty Area per 90,Goals Against per 90,Rating
Lisa Lichtfus,22,Dijon,2022-23,1890,0.5,0.06,0.32,2.14,5.97
Manon Heil,25,Fleury,2022-23,1979,0.56,0.09,0.25,0.91,6.89
Cindy Perrault,26,Guingamp,2022-23,1170,0.56,0.18,0.26,1.85,4.15
Solène Durand,27,Guingamp,2022-23,810,0.62,0.23,0.29,1.89,3.17
Laëtitia Philippe,31,Le Havre,2022-23,1980,0.58,0.04,0.54,2.05,7.58
Christiane Endler,31,Lyon,2022-23,1710,0.63,0.05,0.22,0.42,6.36
Lisa Schmitz,30,Montpellier,2022-23,1616,0.54,0.09,0.52,1.17,5.79
Romane Salvador,24,Montpellier,2022-23,362,0.53,0.42,0.28,0.75,1.22
Chiamaka Nnadozie,21,Paris FC,2022-23,1845,0.68,0.11,0.45,0.83,8.04
Sarah Bouhaddi,35,Paris Saint Germain,2022-23,1350,0.54,0.19,0.55,0.73,5.04
Constance Picaud,24,Paris Saint Germain,2022-23,495,0.61,0.44,0.07,0.18,1.86
Marie Morgane Sieber,20,Rodez,2022-23,1980,0.54,0.09,0.32,2.18,6.77
Romane Munich,27,Soyaux,2022-23,1890,0.47,0.05,0.48,2.62,5.9
Emily Alvarado,24,Stade de Reims,2022-23,1530,0.39,0.05,0.11,1.65,3.48
Kinga Szemik,25,Stade de Reims,2022-23,404,0.57,0.17,0.08,1.78,1.25
Mylène Chavas,23,Bordeaux,2021-22,1260,0.54,0.16,0.22,1.5,3.96
Anna Moorhouse,26,Bordeaux,2021-22,360,0.94,0.28,0.14,0.75,1.82
Laëtitia Philippe,30,Bordeaux,2021-22,360,0.55,0.11,0.38,1.25,1.09
Solène Durand,26,Dijon,2021-22,1469,0.76,0.08,0.12,1.78,5.99
Lisa Lichtfus,21,Dijon,2021-22,511,0.22,0.31,0.13,2.82,0.72
Katriina Talaslahti,20,Fleury,2021-22,1232,0.74,0.07,0.03,1.02,4.77
Émmeline Mainguy,33,Fleury,2021-22,748,0.59,0.12,0.16,1.44,2.41
Cindy Perrault,25,Guingamp,2021-22,1641,0.42,0.11,0.29,2.36,4.17
Cosette Morché,24,Issy,2021-22,1800,0.65,0.1,0.1,2.65,6.43
Christiane Endler,30,Lyon,2021-22,1260,0.88,0.09,0.18,0.36,6.01
Sarah Bouhaddi,34,Lyon,2021-22,360,0.78,0.0,1.0,0.25,1.71
Emma Holmgren,24,Lyon,2021-22,360,0.6,0.51,0.43,0.5,1.39
Lisa Schmitz,29,Montpellier,2021-22,1440,0.84,0.06,0.27,1.44,6.7
Gabrielle Lambert,27,Montpellier,2021-22,540,0.92,0.23,0.16,0.33,2.71
Chiamaka Nnadozie,20,Paris FC,2021-22,1980,0.93,0.05,0.2,0.95,10.0
Barbora Votíková,24,Paris Saint Germain,2021-22,1080,0.71,0.07,0.35,0.75,4.37
Charlotte Voll,22,Paris Saint Germain,2021-22,540,0.96,0.09,0.19,0.33,2.75
Stephanie Labbé,34,Paris Saint Germain,2021-22,270,0.88,0.89,0.06,0.0,1.44
Maryne Gignoux-Soulier,25,Saint Etienne,2021-22,1080,0.31,0.04,0.18,2.58,1.86
Emily Burns,24,Saint Etienne,2021-22,900,0.46,0.14,0.32,2.3,2.49
Romane Munich,26,Soyaux,2021-22,1620,0.55,0.08,0.21,2.5,5.0
Laëtitia Philippe,30,Soyaux,2021-22,270,0.78,0.0,0.32,1.67,1.06
Emily Alvarado,23,Stade de Reims,2021-22,1980,0.59,0.04,0.07,1.73,6.21
Maria-Luisa Grohs,22,Bayern Munich,2023-24,1880,0.84,0.05,0.23,0.34,7.4
Stina Johannes,23,Eintracht Frankfurt,2023-24,1886,0.55,0.08,0.19,1.15,5.02
Sophia Winkler,20,Essen,2023-24,1819,0.72,0.11,0.08,0.89,6.09
Rafaela Borggräfe,23,Freiburg,2023-24,1254,0.51,0.05,0.3,1.79,3.13
Julia Kassen,21,Freiburg,2023-24,450,0.2,0.07,0.4,2.0,0.44
Gabrielle Lambert,29,Freiburg,2023-24,276,0.1,0.58,0.98,2.93,0.38
Martina Tufeković,29,Hoffenheim,2023-24,1710,0.78,0.08,0.3,1.42,6.45
Jasmin Pal,26,Koln,2023-24,1215,0.57,0.12,0.28,1.85,3.43
Paula Hoppe,17,Koln,2023-24,765,0.49,0.24,0.09,2.12,1.79
Friederike Abt,29,Bayer Leverkusen,2023-24,1980,0.65,0.05,0.15,1.14,6.02
Ena Mahmutovic,19,MSV Duisburg,2023-24,1974,0.64,0.06,0.34,2.87,6.23
Kristin Krammer,21,1 FC Nurnberg,2023-24,1260,0.53,0.09,0.11,3.0,3.1
Lea Paulick,23,1 FC Nurnberg,2023-24,703,0.44,0.09,0.35,2.3,1.52
Elvira Herzog,23,RB Leipzig,2023-24,1980,0.7,0.04,0.55,1.86,7.07
Livia Peng,21,Werder Bremen,2023-24,1795,0.66,0.11,0.76,1.4,6.58
Merle Frohms,28,Wolfsburg,2023-24,1665,0.7,0.03,0.51,0.76,5.85
Lisa Schmitz,31,Wolfsburg,2023-24,315,0.68,0.42,0.72,1.43,1.15
Maria-Luisa Grohs,21,Bayern Munich,2022-23,1872,0.56,0.11,0.57,0.38,7.15
Stina Johannes,22,Eintracht Frankfurt,2022-23,1980,0.44,0.03,0.2,1.0,5.3
Sophia Winkler,19,Essen,2022-23,1800,0.42,0.12,0.26,1.8,4.89
Rafaela Borggräfe,22,Freiburg,2022-23,900,0.41,0.16,0.41,1.7,2.48
Lena Nuding,29,Freiburg,2022-23,851,0.29,0.08,0.75,2.54,1.99
Martina Tufeković,28,Hoffenheim,2022-23,1620,0.58,0.07,0.64,1.17,6.43
Laura Dick,19,Hoffenheim,2022-23,360,0.71,1.0,0.19,1.0,1.82
Manon Klett,25,Koln,2022-23,1440,0.52,0.08,0.35,1.94,4.7
Jasmin Pal,25,Koln,2022-23,540,0.43,0.32,0.56,2.17,1.69
Friederike Abt,28,Bayer Leverkusen,2022-23,1710,0.42,0.07,0.37,1.42,4.73
Ena Mahmutovic,18,MSV Duisburg,2022-23,1871,0.62,0.08,0.14,2.07,6.79
Laura Sieger,22,SV Meppen,2022-23,1980,0.47,0.09,0.37,1.82,6.08
Anna Wellmann,27,Turbine Potsdam,2022-23,1350,0.03,0.04,0.15,3.27,0.33
Vanessa Fischer,25,Turbine Potsdam,2022-23,270,0.59,0.0,0.0,0.0,0.72
Anneke Borbe,21,Werder Bremen,2022-23,1482,0.6,0.13,0.77,2.0,6.33
Hannah Etzold,17,Werder Bremen,2022-23,275,0.92,0.64,0.61,0.65,1.67
Merle Frohms,27,Wolfsburg,2022-23,1860,0.6,0.03,0.41,0.82,6.98
Dolores Gallardo,30,Atletico Madrid,2023-24,2430,0.87,0.06,0.26,0.78,10.0
Patricia Larqué,31,Atletico Madrid,2023-24,270,0.67,0.66,0.08,0.33,0.88
